 color_intensity,shape,ripeness_per,alcohol_per, malic_acid_per, ash, alcalinity_of_ash, magnesium_measure, total_phenols, flavanoids, proanthocyanins, hue, proline,class
5.64,elliptical,,14.23,1.71,2.43,15.6,127,2.8,3.06,2.29,1.04,1065,High
4.38,elliptical,,13.2,1.78,2.14,11.2,100,2.65,2.76,1.28,1.05,1050,High
5.68,elliptical,,13.16,2.36,2.67,18.6,101,2.8,3.24,2.81,1.03,1185,High
7.8,elliptical,,14.37,1.95,2.5,16.8,113,3.85,3.49,2.18,0.86,1480,High
4.32,round,,13.24,2.59,2.87,21,118,2.8,2.69,1.82,1.04,735,High
6.75,elliptical,,14.2,1.76,2.45,15.2,112,3.27,3.39,1.97,1.05,1450,High
5.25,elliptical,,14.39,1.87,2.45,14.6,96,2.5,2.52,1.98,1.02,1290,High
5.05,elliptical,,14.06,2.15,2.61,17.6,121,2.6,2.51,1.25,1.06,1295,High
5.2,round,,14.83,1.64,2.17,14,97,2.8,2.98,1.98,1.08,1045,High
7.22,elliptical,,13.86,1.35,2.27,16,98,2.98,3.15,1.85,1.01,1045,High
5.75,elliptical,,14.1,2.16,2.3,18,105,2.95,3.32,2.38,1.25,1510,High
5,round,,14.12,1.48,2.32,16.8,95,2.2,2.43,1.57,1.17,1280,High
5.6,round,,13.75,1.73,2.41,16,89,2.6,2.76,1.81,1.15,1320,High
5.4,round,,14.75,1.73,2.39,11.4,91,3.1,3.69,2.81,1.25,1150,High
7.5,elliptical,,14.38,1.87,2.38,12,102,3.3,3.64,2.96,1.2,1547,High
7.3,elliptical,,13.63,1.81,2.7,17.2,112,2.85,2.91,1.46,1.28,1310,High
6.2,elliptical,,14.3,1.92,2.72,20,120,2.8,3.14,1.97,1.07,1280,High
6.6,elliptical,,13.83,1.57,2.62,20,115,2.95,3.4,1.72,1.13,1130,High
8.7,round,,14.19,1.59,2.48,16.5,108,3.3,3.93,1.86,1.23,1680,High
5.1,elliptical,,13.64,3.1,2.56,15.2,116,2.7,3.03,1.66,0.96,845,High
5.65,elliptical,,14.06,1.63,2.28,16,126,3,3.17,2.1,1.09,780,High
4.5,elliptical,,12.93,3.8,2.65,18.6,102,2.41,2.41,1.98,1.03,770,High
3.8,elliptical,,13.71,1.86,2.36,16.6,101,2.61,2.88,1.69,1.11,1035,High
3.93,round,,12.85,1.6,2.52,17.8,95,2.48,2.37,1.46,1.09,1015,High
3.52,round,,13.5,1.81,2.61,20,96,2.53,2.61,1.66,1.12,845,High
3.58,round,,13.05,2.05,3.22,25,124,2.63,2.68,1.92,1.13,830,High
4.8,elliptical,,13.39,1.77,2.62,16.1,93,2.85,2.94,1.45,0.92,1195,High
3.95,elliptical,,13.3,1.72,2.14,17,94,2.4,2.19,1.35,1.02,1285,High
4.5,elliptical,,13.87,1.9,2.8,19.4,107,2.95,2.97,1.76,1.25,915,High
4.7,elliptical,,14.02,1.68,2.21,16,96,2.65,2.33,1.98,1.04,1035,High
5.7,elliptical,,13.73,1.5,2.7,22.5,101,3,3.25,2.38,1.19,1285,High
6.9,round,,13.58,1.66,2.36,19.1,106,2.86,3.19,1.95,1.09,1515,High
3.84,round,,13.68,1.83,2.36,17.2,104,2.42,2.69,1.97,1.23,990,High
5.4,elliptical,,13.76,1.53,2.7,19.5,132,2.95,2.74,1.35,1.25,1235,High
4.2,round,,13.51,1.8,2.65,19,110,2.35,2.53,1.54,1.1,1095,High
5.1,elliptical,,13.48,1.81,2.41,20.5,100,2.7,2.98,1.86,1.04,920,High
4.6,elliptical,,13.28,1.64,2.84,15.5,110,2.6,2.68,1.36,1.09,880,High
4.25,elliptical,,13.05,1.65,2.55,18,98,2.45,2.43,1.44,1.12,1105,High
3.7,elliptical,,13.07,1.5,2.1,15.5,98,2.4,2.64,1.37,1.18,1020,High
5.1,elliptical,,14.22,3.99,2.51,13.2,128,3,3.04,2.08,0.89,760,High
6.13,elliptical,,13.56,1.71,2.31,16.2,117,3.15,3.29,2.34,0.95,795,High
4.28,elliptical,,13.41,3.84,2.12,18.8,90,2.45,2.68,1.48,0.91,1035,High
5.43,round,,13.88,1.89,2.59,15,101,3.25,3.56,1.7,0.88,1095,High
4.36,round,,13.24,3.98,2.29,17.5,103,2.64,2.63,1.66,0.82,680,High
5.04,round,,13.05,1.77,2.1,17,107,3,3,2.03,0.88,885,High
5.24,elliptical,,14.21,4.04,2.44,18.9,111,2.85,2.65,1.25,0.87,1080,High
4.9,elliptical,,14.38,3.59,2.28,16,102,3.25,3.17,2.19,1.04,1065,High
6.1,elliptical,,13.9,1.68,2.12,16,101,3.1,3.39,2.14,0.91,985,High
6.2,elliptical,,14.1,2.02,2.4,18.8,103,2.75,2.92,2.38,1.07,1060,High
8.9,elliptical,,13.94,1.73,2.27,17.4,108,2.88,3.54,2.08,1.12,1260,High
7.2,elliptical,,13.05,1.73,2.04,12.4,92,2.72,3.27,2.91,1.12,1150,High
5.6,round,,13.83,1.65,2.6,17.2,94,2.45,2.99,2.29,1.24,1265,High
7.05,round,,13.82,1.75,2.42,14,111,3.88,3.74,1.87,1.01,1190,High
6.3,round,,13.77,1.9,2.68,17.1,115,3,2.79,1.68,1.13,1375,High
5.85,elliptical,,13.74,1.67,2.25,16.4,118,2.6,2.9,1.62,0.92,1060,High
6.25,elliptical,,13.56,1.73,2.46,20.5,116,2.96,2.78,2.45,0.98,1120,High
6.38,elliptical,,14.22,1.7,2.3,16.3,118,3.2,3,2.03,0.94,970,High
6,elliptical,,13.29,1.97,2.68,16.8,102,3,3.23,1.66,1.07,1270,High
6.8,elliptical,,13.72,1.43,2.5,16.7,108,3.4,3.67,2.04,0.89,1285,High
1.95,round,,12.37,0.94,1.36,10.6,88,1.98,0.57,0.42,1.05,520,Medium
3.27,round,,12.33,1.1,2.28,16,101,2.05,1.09,0.41,1.25,680,Medium
5.75,round,,12.64,1.36,2.02,16.8,100,2.02,1.41,0.62,0.98,450,Medium
3.8,round,,13.67,1.25,1.92,18,94,2.1,1.79,0.73,1.23,630,Medium
4.45,elliptical,,12.37,1.13,2.16,19,87,3.5,3.1,1.87,1.22,420,Medium
2.95,round,,12.17,1.45,2.53,19,104,1.89,1.75,1.03,1.45,355,Medium
4.6,elliptical,,12.37,1.21,2.56,18.1,98,2.42,2.65,2.08,1.19,678,Medium
5.3,round,,13.11,1.01,1.7,15,78,2.98,3.18,2.28,1.12,502,Medium
4.68,elliptical,,12.37,1.17,1.92,19.6,78,2.11,2,1.04,1.12,510,Medium
3.17,elliptical,,13.34,0.94,2.36,17,110,2.53,1.3,0.42,1.02,750,Medium
2.85,elliptical,,12.21,1.19,1.75,16.8,151,1.85,1.28,2.5,1.28,718,Medium
3.05,elliptical,,12.29,1.61,2.21,20.4,103,1.1,1.02,1.46,0.906,870,Medium
3.38,elliptical,,13.86,1.51,2.67,25,86,2.95,2.86,1.87,1.36,410,Medium
3.74,elliptical,,13.49,1.66,2.24,24,87,1.88,1.84,1.03,0.98,472,Medium
3.35,round,,12.99,1.67,2.6,30,139,3.3,2.89,1.96,1.31,985,Medium
3.21,elliptical,,11.96,1.09,2.3,21,101,3.38,2.14,1.65,0.99,886,Medium
3.8,round,,11.66,1.88,1.92,16,97,1.61,1.57,1.15,1.23,428,Medium
4.6,elliptical,,13.03,0.9,1.71,16,86,1.95,2.03,1.46,1.19,392,Medium
2.65,elliptical,,11.84,2.89,2.23,18,112,1.72,1.32,0.95,0.96,500,Medium
3.4,round,,12.33,0.99,1.95,14.8,136,1.9,1.85,2.76,1.06,750,Medium
2.57,elliptical,,12.7,3.87,2.4,23,101,2.83,2.55,1.95,1.19,463,Medium
2.5,elliptical,,12,0.92,2,19,86,2.42,2.26,1.43,1.38,278,Medium
3.9,elliptical,,12.72,1.81,2.2,18.8,86,2.2,2.53,1.77,1.16,714,Medium
2.2,elliptical,,12.08,1.13,2.51,24,78,2,1.58,1.4,1.31,630,Medium
4.8,elliptical,,13.05,3.86,2.32,22.5,85,1.65,1.59,1.62,0.84,515,Medium
3.05,round,,11.84,0.89,2.58,18,94,2.2,2.21,2.35,0.79,520,Medium
2.62,round,,12.67,0.98,2.24,18,99,2.2,1.94,1.46,1.23,450,Medium
2.45,elliptical,,12.16,1.61,2.31,22.8,90,1.78,1.69,1.56,1.33,495,Medium
2.6,elliptical,,11.65,1.67,2.62,26,88,1.92,1.61,1.34,1.36,562,Medium
2.8,elliptical,,11.64,2.06,2.46,21.6,84,1.95,1.69,1.35,1,680,Medium
1.74,round,,12.08,1.33,2.3,23.6,70,2.2,1.59,1.38,1.07,625,Medium
2.4,elliptical,,12.08,1.83,2.32,18.5,81,1.6,1.5,1.64,1.08,480,Medium
3.6,elliptical,,12,1.51,2.42,22,86,1.45,1.25,1.63,1.05,450,Medium
3.05,elliptical,,12.69,1.53,2.26,20.7,80,1.38,1.46,1.62,0.96,495,Medium
2.15,round,,12.29,2.83,2.22,18,88,2.45,2.25,1.99,1.15,290,Medium
3.25,round,,11.62,1.99,2.28,18,98,3.02,2.26,1.35,1.16,345,Medium
2.6,elliptical,,12.47,1.52,2.2,19,162,2.5,2.27,3.28,1.16,937,Medium
2.5,elliptical,,11.81,2.12,2.74,21.5,134,1.6,0.99,1.56,0.95,625,Medium
2.9,elliptical,,12.29,1.41,1.98,16,85,2.55,2.5,1.77,1.23,428,Medium
4.5,round,,12.37,1.07,2.1,18.5,88,3.52,3.75,1.95,1.04,660,Medium
2.3,round,,12.29,3.17,2.21,18,88,2.85,2.99,2.81,1.42,406,Medium
3.3,elliptical,,12.08,2.08,1.7,17.5,97,2.23,2.17,1.4,1.27,710,Medium
2.45,elliptical,,12.6,1.34,1.9,18.5,88,1.45,1.36,1.35,1.04,562,Medium
2.8,elliptical,,12.34,2.45,2.46,21,98,2.56,2.11,1.31,0.8,438,Medium
2.06,round,,11.82,1.72,1.88,19.5,86,2.5,1.64,1.42,0.94,415,Medium
