COLOR_INTENSITY,SHAPE,RIPENESS_PER,ALCOHOL_PER,MALIC_ACID_PER,ASH,ALCALINITY_OF_ASH,MAGNESIUM_MEASURE,TOTAL_PHENOLS,FLAVANOIDS,PROANTHOCYANINS,HUE,PROLINE,CLASS
120.529010238908,elliptical,16.7294855513569,14.23,1.71,2.43,15.6,127,2.8,3.06,2.29,1.04,1065,High
112.57337883959,elliptical,20.3038364123073,13.2,1.78,2.14,11.2,100,2.65,2.76,1.28,1.05,1050,High
120.78156996587,elliptical,20.8122426626236,13.16,2.36,2.67,18.6,101,2.8,3.24,2.81,1.03,1185,High
134.167235494881,elliptical,19.4678425633116,14.37,1.95,2.5,16.8,113,3.85,3.49,2.18,0.86,1480,High
112.194539249147,round,17.5724425907824,13.24,2.59,2.87,21,118,2.8,2.69,1.82,1.04,735,High
127.537542662116,elliptical,17.4353945811116,14.2,1.76,2.45,15.2,112,3.27,3.39,1.97,1.05,1450,High
118.066552901024,elliptical,19.7939397876338,14.39,1.87,2.45,14.6,96,2.5,2.52,1.98,1.02,1290,High
116.803754266212,elliptical,17.8922517411887,14.06,2.15,2.61,17.6,121,2.6,2.51,1.25,1.06,1295,High
117.750853242321,round,16.624376187721,14.83,1.64,2.17,14,97,2.8,2.98,1.98,1.08,1045,High
130.505119453925,elliptical,16.8651282601196,13.86,1.35,2.27,16,98,2.98,3.15,1.85,1.01,1045,High
121.223549488055,elliptical,20.5254049253158,14.1,2.16,2.3,18,105,2.95,3.32,2.38,1.25,1510,High
116.488054607509,round,16.1655565606287,14.12,1.48,2.32,16.8,95,2.2,2.43,1.57,1.17,1280,High
120.276450511945,round,21.434630386805,13.75,1.73,2.41,16,89,2.6,2.76,1.81,1.15,1320,High
119.013651877133,round,18.5713692838057,14.75,1.73,2.39,11.4,91,3.1,3.69,2.81,1.25,1150,High
132.273037542662,elliptical,21.8713248952338,14.38,1.87,2.38,12,102,3.3,3.64,2.96,1.2,1547,High
131.01023890785,elliptical,21.9318027491186,13.63,1.81,2.7,17.2,112,2.85,2.91,1.46,1.28,1310,High
124.064846416382,elliptical,17.5121085298015,14.3,1.92,2.72,20,120,2.8,3.14,1.97,1.07,1280,High
126.590443686007,elliptical,20.1515892109068,13.83,1.57,2.62,20,115,2.95,3.4,1.72,1.13,1130,High
139.849829351536,round,18.5932348216885,14.19,1.59,2.48,16.5,108,3.3,3.93,1.86,1.23,1680,High
120.907849829352,round,23.3595271431534,13.49,3.59,2.19,19.5,88,1.62,0.48,0.88,0.81,580,High
120.276450511945,elliptical,24.009308961105,13.36,2.56,2.35,20,89,1.4,0.5,0.64,0.7,780,High
112.699658703072,round,24.2737702379347,13.62,4.95,2.35,20,92,2,0.8,1.02,0.91,550,High
133.220136518771,round,25.1978642586482,12.87,4.61,2.48,21.5,86,1.7,0.65,0.86,0.54,625,High
138.081911262799,elliptical,24.2076429369765,13.32,3.24,2.38,21.5,92,1.93,0.76,1.25,0.55,650,High
117.119453924915,elliptical,17.2799148475128,13.64,3.1,2.56,15.2,116,2.7,3.03,1.66,0.96,845,High
120.592150170648,elliptical,17.6146605811505,14.06,1.63,2.28,16,126,3,3.17,2.1,1.09,780,High
113.331058020478,elliptical,17.0276820583334,12.93,3.8,2.65,18.6,102,2.41,2.41,1.98,1.03,770,High
108.911262798635,elliptical,18.0507620910205,13.71,1.86,2.36,16.6,101,2.61,2.88,1.69,1.11,1035,High
109.732081911263,round,18.041160575115,12.85,1.6,2.52,17.8,95,2.48,2.37,1.46,1.09,1015,High
107.143344709898,round,17.2958205828171,13.5,1.81,2.61,20,96,2.53,2.61,1.66,1.12,845,High
107.522184300341,round,16.3439881592929,13.05,2.05,3.22,25,124,2.63,2.68,1.92,1.13,830,High
115.225255972696,elliptical,18.8447813649419,13.39,1.77,2.62,16.1,93,2.85,2.94,1.45,0.92,1195,High
